epoch,train_mse,val_pcc,val_mse
1,0.034901264411393636,-0.023401313434512325,0.03274168318247311
2,0.03404920729122463,0.05785224867334296,0.03210203972940458
3,0.033509732509393736,0.14302071225632482,0.03157742301962756
4,0.03296260244299256,0.24349480542368185,0.031040800900444043
5,0.03233216904987723,0.30692107101698207,0.030365279443466186
6,0.031377577884644854,0.3332805761038465,0.029560279965696816
7,0.02987512904358967,0.3902329681253456,0.027943504147659518
8,0.02829179599774319,0.4157625049590046,0.02659116044736619
9,0.02681043449998135,0.4383978538012844,0.025717069847206838
10,0.026384750638531115,0.45808136652372067,0.0250882092270079
11,0.026003127827793553,0.4658911744350622,0.024846578977543738
12,0.025430732269466624,0.47487110848721437,0.024530900189539934
13,0.025439749339491013,0.4801665624916232,0.024419322034868914
14,0.025153976890611836,0.48003771211409124,0.02426677916084029
15,0.025171527163049077,0.49140312083211257,0.024026547192623718
16,0.025058119622152663,0.4826058097629968,0.024760904255004046
17,0.025149553659647664,0.4954618450018985,0.02392807221223848
18,0.025104148434827195,0.49614831735179094,0.02394702196927169
19,0.025143153321925633,0.5044578452186758,0.023620599877508173
20,0.025234661590808217,0.49903111523761357,0.02377664878791325
21,0.02524341765252055,0.49914750709891914,0.02397195627160889
22,0.02517998431757034,0.4911853789027742,0.024595182415270693
23,0.025733685213222498,0.49710529208109844,0.023923616198959663
24,0.02542936241659767,0.4911188068497637,0.024705344336540643
25,0.02666428332329962,0.49403077717838784,0.024142997374029182
26,0.025983689726856107,0.48607028372648403,0.024354363463537997
27,0.02654517776389865,0.4877600772496529,0.02459672393746819
28,0.026475802105226137,0.48345475776376534,0.026135188253382347
29,0.02664419990202905,0.4794374922357162,0.02463345452336368
30,0.027056936878890693,0.4793970098672855,0.024670156928871693
31,0.02688205872226453,0.46796620163552544,0.027406366565446556
32,0.027519593029884035,0.47679536520118265,0.02534711672775083
33,0.027419709191309115,0.4773349615106688,0.024796633443603475
34,0.027006166434641612,0.47487373612288863,0.024792551909891096
35,0.026578479654105886,0.4811319658842718,0.024615881273301936
36,0.028380695045616047,0.4792713175926066,0.027282347076809148
37,0.027744645998367585,0.47588775033836006,0.02535973165370481
38,0.02762386794875933,0.4721167014697909,0.025292974022143568
39,0.02788648246320006,0.47382759996644386,0.025642572983900318
40,0.02767442752069258,0.46495253458613267,0.025775855498239342
41,0.027787995972759254,0.4758467456801664,0.026363573025551763
42,0.028314980754757486,0.4703774307382515,0.025712362986022932
43,0.02790005016474556,0.44468964057917065,0.027468438064251935
44,0.03065325126945584,0.46456167899664835,0.028241304449173457
45,0.02950487620740002,0.44721757063189443,0.027316469435355463
46,0.028706832896952056,0.4518380853111738,0.028407231207471108
47,0.028545979488121327,0.4584249875715245,0.026713457961060366
48,0.02892757501244312,0.45051754492125246,0.0263764749402302
49,0.028813492035617106,0.452056472497799,0.02857594490854028
