epoch,train_mse,val_pcc,val_mse
1,0.03530372980706343,0.03444358731472846,0.03589125040566201
2,0.034133635355657034,0.10955303256627393,0.03455746956953426
3,0.033210272284635786,0.215126713053977,0.03322563360766277
4,0.03215091554906534,0.2979618780360192,0.03201705680926655
5,0.03072994801130499,0.43433488070251774,0.029930829956441255
6,0.029077949811333083,0.4905205606963379,0.028011867021398767
7,0.0277713347076981,0.5181467620982204,0.026661346711631333
8,0.02695676469145981,0.5230326182374407,0.02533516157947556
9,0.026294858210981573,0.5385730458056748,0.025512367558795972
10,0.02590585979722613,0.5389943839957707,0.024508997485413755
11,0.02573503669743667,0.5375119450060065,0.02429761925234033
12,0.02552516098651351,0.5457646697003923,0.02425718696993896
13,0.025381598924658647,0.547994694220724,0.024470554883102076
14,0.02532978851942119,0.5526066465076628,0.02388134627277595
15,0.02520510836534462,0.5556200772715338,0.02375174532864148
16,0.025000055114376377,0.571015578242499,0.023420470678508474
17,0.024963094270750177,0.5661620999047413,0.023358303957457027
18,0.025135227832803517,0.5736368926401737,0.024095684386270577
19,0.025505915190022467,0.5694293907333139,0.02319971778724332
20,0.025057817105098194,0.5756793805719839,0.023506274828691116
21,0.025515114660804496,0.5696484391850942,0.023655832737093332
22,0.025323720653136,0.5786163060426159,0.023223294788213465
23,0.02602649284062107,0.5770147725775968,0.02469736490247027
24,0.026128422978440712,0.5575132384045773,0.023973193768505603
25,0.025535925382880034,0.5719435727595791,0.024724663959029086
26,0.02613334606617524,0.5628289164860548,0.02395134657538274
27,0.026688444418428794,0.5573641756541083,0.025428808311301624
28,0.026301828066976014,0.5582157537000253,0.024019341932179087
29,0.026174921095419832,0.5626210113516714,0.024355983141063495
30,0.026050823165834396,0.5496893987120219,0.024328410683277575
31,0.02636467875869666,0.5497895320483048,0.025152067349984184
32,0.02726674055055702,0.5538831494294888,0.02423334267576061
33,0.027006145938380674,0.5593507361222693,0.026177060899464498
34,0.027189233025428444,0.5583554823302024,0.025399638331709044
35,0.026638342521873366,0.5581972587017588,0.024197046618213695
36,0.027023867359321125,0.5671249304758899,0.024417885619788915
37,0.027145713373391916,0.5502969229757125,0.025860613296579415
38,0.0274575508488412,0.5308066849360795,0.0293880885249018
39,0.029911750211539235,0.5547741570249228,0.027382975534570142
40,0.028290664447993184,0.570558982625358,0.02659509836368621
41,0.02828616372036028,0.5377749869493178,0.028383867243232157
42,0.029776903394674065,0.5543424662015977,0.027618490745893107
43,0.028722487064518756,0.5661401817090486,0.026401790515396706
44,0.028995683737995572,0.5676538520744435,0.02733499175093559
45,0.028878516703722608,0.5688164747242294,0.027530903293531854
46,0.029178338634888123,0.5248919775009308,0.03143704056154904
47,0.02993563497891479,0.5443537846756982,0.029019598780652734
48,0.029552571441496006,0.5444876914629638,0.02858501718443409
49,0.029371341991043652,0.5606448307075141,0.027329229774724552
50,0.029335869903751217,0.560477371691526,0.027462290300261795
51,0.0287011696555918,0.5615068031681464,0.02668390853306035
52,0.02946440775565655,0.545789904047771,0.027545922211567587
