epoch,train_loss,val_pcc,val_spcc,val_auc
1,0.028429512015503387,0.4683000147342682,0.4648,0.7267328993947698
2,0.02400313552630984,0.5299000144004822,0.536,0.7953637090327738
3,0.023071676614167896,0.5358999967575073,0.5369,0.7383807239922348
4,0.02107503985905129,0.6283000111579895,0.6308,0.8167751513075254
5,0.02058217876955219,0.5986999869346619,0.6101,0.805698298504054
6,0.020018298259895782,0.60589998960495,0.6099,0.7921091698070115
7,0.01877705623274264,0.6177999973297119,0.6346,0.8273381294964028
8,0.01833465173030677,0.5899999737739563,0.606,0.8011876213315063
9,0.017068133972909138,0.6352999806404114,0.6524,0.8569144684252598
10,0.016047231488577698,0.6291999816894531,0.6503,0.8392143428114651
11,0.015255077337117298,0.5634999871253967,0.5864,0.8211145369418751
12,0.01417253947938266,0.6010000109672546,0.6192,0.8158044992577367
13,0.01345097767594068,0.5907999873161316,0.5961,0.8213429256594724
14,0.012020694253885227,0.5248000025749207,0.5339,0.8215142171976704
15,0.010970987541520077,0.5026000142097473,0.5076,0.8025579536370903
16,0.010407383533437614,0.5533999800682068,0.5622,0.8297362110311751
17,0.009430568867727467,0.5264999866485596,0.5308,0.8136919036199611
18,0.009012430359649918,0.5077000260353088,0.5111,0.8081534772182255
19,0.008690596882091917,0.5116999745368958,0.5137,0.8088957405504167
20,0.008662682816224255,0.5080000162124634,0.5095,0.8062692702980473
21,0.015191447313712992,0.6140999794006348,0.6344,0.8395569258878611
22,0.017007159879026207,0.5546000003814697,0.5836,0.8428114651136234
23,0.014780169028950773,0.5435000061988831,0.5609,0.8293936279547789
24,0.015111637585189032,0.6037999987602234,0.6342,0.8433824369076168
25,0.014981933747944624,0.6725000143051147,0.6811,0.8582277035514445
26,0.01416752357845721,0.5674999952316284,0.5862,0.8252826310380267
27,0.014317073211397814,0.6697999835014343,0.6857,0.8565147881694644
28,0.014187688412873642,0.5152999758720398,0.5278,0.7989608313349321
29,0.013745030874143476,0.59170001745224,0.6155,0.837672718967683
30,0.013071053944852041,0.5899999737739563,0.6151,0.8349891515359141
31,0.01363288072626228,0.609000027179718,0.6291,0.8270526435994061
32,0.015074243607080502,0.5974000096321106,0.6298,0.8480644056183624
33,0.014236196956556776,0.5741999745368958,0.5827,0.820429370789083
34,0.013780590025303156,0.597000002861023,0.6349,0.838186593582277
35,0.012931168403314508,0.5958999991416931,0.6089,0.8371588443530891
36,0.0130927468366597,0.5837000012397766,0.6047,0.7902249628868333
37,0.01253364303999621,0.6146000027656555,0.6328,0.829993148338472
38,0.012740257560558941,0.6162999868392944,0.6448,0.8433824369076167
39,0.011706879605417666,0.5777999758720398,0.6082,0.8327623615393399
40,0.012465918072215889,0.5900999903678894,0.6021,0.8288226561607855
41,0.012052132019206234,0.6114000082015991,0.6278,0.8280803928285942
42,0.011821173617373342,0.6208999752998352,0.6359,0.8312207376955578
43,0.011759837886885456,0.6347000002861023,0.6521,0.8540596094552929
44,0.011323178267997244,0.5824000239372253,0.6016,0.8396711202466597
45,0.010921383600520052,0.5580000281333923,0.5648,0.8437821171634121
46,0.011027755499210047,0.5989999771118164,0.6202,0.832248486924746
47,0.011227341247317583,0.5670999884605408,0.5841,0.8088386433710174
48,0.010925755228685297,0.5825999975204468,0.5984,0.8214000228388717
49,0.010248869839731766,0.5619000196456909,0.5902,0.8437250199840128
50,0.010064926808295042,0.5552999973297119,0.5702,0.7973621103117505
51,0.010265507796050413,0.619700014591217,0.6355,0.8414982299874386
52,0.009793343508373136,0.5982000231742859,0.62,0.80775379696243
53,0.010141068543105022,0.5252000093460083,0.5355,0.8255681169350233
54,0.009847909009650997,0.5859000086784363,0.6031,0.8215713143770697
55,0.009369832463562489,0.6442999839782715,0.6603,0.8470937535685737
56,0.008913709194925816,0.5235999822616577,0.5368,0.7730958090670321
57,0.009402051244093023,0.633400022983551,0.6408,0.823798104373644
