fold,train_samples,val_samples,train_efficacy_mean,val_efficacy_mean,train_file,val_file
0,3067,341,0.5365699380502119,0.540058651026393,cv_splits/fold_0_train.csv,cv_splits/fold_0_val.csv
1,3067,341,0.5379165308118683,0.5279472140762462,cv_splits/fold_1_train.csv,cv_splits/fold_1_val.csv
2,3067,341,0.5368829475057059,0.5372434017595308,cv_splits/fold_2_train.csv,cv_splits/fold_2_val.csv
3,3067,341,0.5374959243560482,0.5317302052785924,cv_splits/fold_3_train.csv,cv_splits/fold_3_val.csv
4,3067,341,0.5364297358982719,0.5413196480938416,cv_splits/fold_4_train.csv,cv_splits/fold_4_val.csv
5,3067,341,0.5364329964134333,0.5412903225806451,cv_splits/fold_5_train.csv,cv_splits/fold_5_val.csv
6,3067,341,0.5366514509292468,0.539325513196481,cv_splits/fold_6_train.csv,cv_splits/fold_6_val.csv
7,3067,341,0.536876426475383,0.5373020527859238,cv_splits/fold_7_train.csv,cv_splits/fold_7_val.csv
8,3068,340,0.5363070404172099,0.5424411764705882,cv_splits/fold_8_train.csv,cv_splits/fold_8_val.csv
9,3068,340,0.5376271186440679,0.5305294117647059,cv_splits/fold_9_train.csv,cv_splits/fold_9_val.csv
