epoch,loss
1,0.13307292759418488
2,0.03173545375466347
3,0.03037746623158455
4,0.028380680829286575
5,0.02602986805140972
6,0.023472951725125313
7,0.022037727758288383
8,0.020840710029006004
9,0.020154034718871117
10,0.019588924944400787
11,0.019401177763938904
12,0.018174320459365845
13,0.01777227781713009
14,0.017100278288125992
15,0.016753973439335823
16,0.016065917909145355
17,0.015361689031124115
18,0.014804747886955738
19,0.014100999571383
20,0.013390117324888706
21,0.012717780657112598
22,0.011782418936491013
23,0.010629501193761826
24,0.010715480893850327
25,0.009152197279036045
26,0.008251135237514973
27,0.007723151706159115
28,0.006780991796404123
29,0.005919434130191803
30,0.005438192281872034
31,0.0046719578094780445
32,0.004279934335500002
33,0.004031318239867687
34,0.0036616360303014517
35,0.003330950392410159
36,0.0032864778768271208
37,0.002802495611831546
38,0.002465047175064683
39,0.0025577580090612173
40,0.002268834039568901
41,0.0020561241544783115
42,0.001960187219083309
43,0.0019881422631442547
44,0.0017860997468233109
45,0.0016368766082450747
46,0.0016903011128306389
47,0.0015441179275512695
48,0.0014942698180675507
49,0.0014968614559620619
50,0.001338787144050002
51,0.0014437143690884113
