epoch,train_loss,val_pcc,val_spcc,val_auc
1,0.027341188700950664,0.46129998564720154,0.4791,0.6862313524089019
2,0.024017056612216908,0.5080999732017517,0.5351,0.716862313524089
3,0.022674234017081882,0.5771999955177307,0.6116,0.7072022499388604
4,0.021011321602956108,0.5911999940872192,0.6002,0.7758620689655172
5,0.020361405392379864,0.5927000045776367,0.6159,0.7742724382489607
6,0.019186456201841003,0.6147000193595886,0.6367,0.7621056493030082
7,0.018808641430476437,0.6055999994277954,0.6199,0.7704206407434581
8,0.017824086158171944,0.6200000047683716,0.6364,0.7645512350207876
9,0.016897566414073757,0.58160001039505,0.5857,0.7824040107605771
10,0.016167347197947296,0.6276000142097473,0.6449,0.7748838346784055
11,0.015141856370736723,0.6064000129699707,0.6198,0.7713988750305698
12,0.014535076025387516,0.6200000047683716,0.6361,0.7852775739789679
13,0.0132702163056187,0.6140000224113464,0.6337,0.7806921007581316
14,0.012329674366375675,0.6151999831199646,0.631,0.7706040596722915
15,0.011743332785756691,0.6029999852180481,0.611,0.780630961115187
16,0.010517374166975851,0.5916000008583069,0.5993,0.7787356321839082
17,0.009702776963620083,0.5819000005722046,0.5862,0.7781242357544632
18,0.009195452859706205,0.5598000288009644,0.5588,0.7860723893372462
19,0.009040596874673729,0.5473999977111816,0.5434,0.7759232086084618
20,0.008952293099592562,0.5483999848365784,0.5453,0.7774516996820738
21,0.01629131975705209,0.5996999740600586,0.6166,0.7538517975055026
22,0.016172432300189266,0.6162999868392944,0.6389,0.7476155539251651
23,0.014828406557764696,0.5907999873161316,0.6043,0.7732330643189044
24,0.014322708401343098,0.5752000212669373,0.5919,0.7731719246759599
25,0.014752413470136084,0.5464000105857849,0.5695,0.7724382489606262
26,0.0137718775836022,0.6039999723434448,0.6179,0.7723159696747371
27,0.01382815979583108,0.557200014591217,0.5399,0.8025800929322573
28,0.01431789516430834,0.5552999973297119,0.552,0.7686475910980679
29,0.01380607858300209,0.5394999980926514,0.5487,0.7817314746881878
30,0.01344040769111851,0.595300018787384,0.608,0.7699926632428467
